Season;Game #;Unique ID;Date;Team;Opponent;Team G;Opp G;Win Loss;Points;Referee;Team S;Opp S;Team SOT;Opp SOT;Team Fouls;Opp Fouls;Team Corner;Opp Corner;Team Yellows;Opp Yellow;Team Red;Opp Red
1993-94;1;Angers1;7/24/1993;Angers;Sochaux;1;4;Loss;0;NA;;;;;;;;;;;;
1993-94;2;Angers2;7/31/1993;Angers;Metz;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;3;Angers3;8/7/1993;Angers;Lyon;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;4;Angers4;8/11/1993;Angers;Auxerre;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;5;Angers5;8/14/1993;Angers;Martigues;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;6;Angers6;8/28/1993;Angers;Lens;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;7;Angers7;9/1/1993;Angers;Paris SG;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;8;Angers8;9/11/1993;Angers;Cannes;3;4;Loss;0;NA;;;;;;;;;;;;
1993-94;9;Angers9;9/19/1993;Angers;Nantes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;10;Angers10;9/24/1993;Angers;Monaco;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;11;Angers11;10/2/1993;Angers;Le Havre;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;12;Angers12;10/6/1993;Angers;Toulouse;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Angers13;10/16/1993;Angers;St Etienne;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;14;Angers14;10/23/1993;Angers;Bordeaux;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;15;Angers15;10/29/1993;Angers;Marseille;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;16;Angers16;11/6/1993;Angers;Lille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;17;Angers17;11/10/1993;Angers;Strasbourg;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;18;Angers18;11/21/1993;Angers;Montpellier;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;19;Angers19;11/27/1993;Angers;Caen;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;20;Angers20;12/3/1993;Angers;Metz;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Angers21;12/11/1993;Angers;Lyon;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;22;Angers22;12/18/1993;Angers;Auxerre;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;23;Angers23;1/15/1994;Angers;Martigues;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;24;Angers24;1/29/1994;Angers;Lens;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;25;Angers25;2/5/1994;Angers;Paris SG;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;26;Angers26;2/9/1994;Angers;Cannes;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;27;Angers27;2/19/1994;Angers;Nantes;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;28;Angers28;2/25/1994;Angers;Monaco;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Angers29;3/5/1994;Angers;Le Havre;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;30;Angers30;3/11/1994;Angers;Toulouse;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;31;Angers31;3/26/1994;Angers;St Etienne;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;32;Angers32;4/2/1994;Angers;Bordeaux;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;33;Angers33;4/5/1994;Angers;Marseille;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;34;Angers34;4/12/1994;Angers;Lille;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;35;Angers35;4/26/1994;Angers;Strasbourg;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;36;Angers36;4/30/1994;Angers;Montpellier;2;3;Loss;0;NA;;;;;;;;;;;;
1993-94;37;Angers37;5/7/1994;Angers;Caen;3;2;Win;3;NA;;;;;;;;;;;;
1993-94;38;Angers38;5/21/1994;Angers;Sochaux;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;1;Auxerre1;7/24/1993;Auxerre;Strasbourg;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;2;Auxerre2;7/31/1993;Auxerre;Montpellier;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;3;Auxerre3;8/7/1993;Auxerre;Caen;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;4;Auxerre4;8/11/1993;Auxerre;Angers;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;5;Auxerre5;8/14/1993;Auxerre;Metz;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;6;Auxerre6;8/28/1993;Auxerre;Lyon;3;2;Win;3;NA;;;;;;;;;;;;
1993-94;7;Auxerre7;9/1/1993;Auxerre;Sochaux;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;8;Auxerre8;9/11/1993;Auxerre;Martigues;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;9;Auxerre9;9/18/1993;Auxerre;Lens;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;10;Auxerre10;9/23/1993;Auxerre;Paris SG;0;4;Loss;0;NA;;;;;;;;;;;;
1993-94;11;Auxerre11;10/2/1993;Auxerre;Toulouse;5;1;Win;3;NA;;;;;;;;;;;;
1993-94;12;Auxerre12;10/6/1993;Auxerre;Le Havre;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Auxerre13;10/16/1993;Auxerre;Monaco;4;0;Win;3;NA;;;;;;;;;;;;
